Word,True_Label,Predicted_Label
drought,動詞,名詞
seed,名詞,動詞
apes,名詞,動詞
web,名詞,動詞
sophisticated,動詞,形容詞
alike,動詞,前置詞
jam,名詞,動詞
anti,前置詞,形容詞
value,名詞,動詞
blossom,名詞,動詞
trash,名詞,動詞
glance,動詞,名詞
parallel,動詞,形容詞
overlook,動詞,名詞
purse,名詞,動詞
at,前置詞,名詞
caution,動詞,名詞
per capita,形容詞,前置詞
trace,動詞,名詞
wheel,名詞,動詞
result,名詞,動詞
bay,名詞,形容詞
avoid ving,動詞,前置詞
addicted,動詞,形容詞
stubborn,動詞,形容詞
aged,形容詞,動詞
sum,名詞,動詞
tackle,動詞,名詞
while,接続詞,名詞
divorce,動詞,名詞
defect,名詞,動詞
thread,名詞,動詞
range,名詞,動詞
contemporary,名詞,形容詞
desire,名詞,動詞
effect,名詞,動詞
similar,動詞,形容詞
oral,名詞,形容詞
whistle,名詞,動詞
lecture,名詞,動詞
afterward,副詞,前置詞
in case of,前置詞,接続詞
phase,名詞,動詞
hybrid,名詞,形容詞
clue,名詞,動詞
retire from,動詞,前置詞
civil,名詞,形容詞
rate,名詞,動詞
sight,名詞,動詞
surface,名詞,形容詞
stiff,形容詞,前置詞
feast,名詞,動詞
as far as,接続詞,前置詞
behalf,副詞,名詞
patch,名詞,動詞
crop,名詞,動詞
troops,名詞,動詞
willing,動詞,助動詞
faint,動詞,形容詞
dread,動詞,形容詞
slave,名詞,動詞
luxury,動詞,名詞
fake,動詞,形容詞
following,前置詞,形容詞
because of,前置詞,接続詞
honor,動詞,名詞
meanwhile,副詞,名詞
awake,形容詞,動詞
hostile,動詞,形容詞
minimum,名詞,形容詞
lord,名詞,動詞
profile,名詞,動詞
adolescent,名詞,形容詞
